months_as_customer,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_hour_of_the_day,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported,days_to_claim
216,1992-11-10,500/1000,1000,1152.4,0,Associate,priv-house-serv,39600,-82400,Parked Car,Minor Damage,Police,0,YES,2,3,NO,560,1680,3920,N,8111
278,1999-07-24,500/1000,2000,1142.62,7000000,MD,farming-fishing,0,-54000,Single Vehicle Collision,Total Loss,Ambulance,12,NO,2,0,NO,11700,11700,52650,N,5655
295,1992-02-22,500/1000,1000,1332.07,0,MD,exec-managerial,49700,-59100,Multi-vehicle Collision,Total Loss,Ambulance,20,NO,2,1,YES,13240,13240,59580,N,8376
112,2002-09-13,500/1000,1000,1166.54,0,Masters,prof-specialty,47700,-59300,Single Vehicle Collision,Major Damage,Fire,3,YES,2,0,NO,10790,21580,75530,Y,4513
122,2003-08-09,250/500,500,1495.06,0,Masters,prof-specialty,38100,-31400,Multi-vehicle Collision,Total Loss,Fire,18,NO,2,0,YES,18180,18180,63630,N,4169
108,2007-12-04,500/1000,1000,1337.92,0,PhD,armed-forces,71400,0,Multi-vehicle Collision,Minor Damage,Ambulance,4,NO,2,2,YES,11160,5580,44640,N,2638
14,2002-07-22,250/500,2000,1587.96,0,Associate,craft-repair,0,-26900,Single Vehicle Collision,Major Damage,Fire,18,NO,2,1,YES,12960,12960,45360,Y,4590
298,1992-07-03,500/1000,1000,1362.29,0,High School,farming-fishing,0,-51100,Multi-vehicle Collision,Minor Damage,Ambulance,18,NO,0,0,NO,12800,6400,44800,N,8274
276,2005-03-29,250/500,500,1448.84,0,Masters,machine-op-inspct,0,-50000,Parked Car,Trivial Damage,Police,7,NO,0,1,NO,660,660,4620,N,3616
47,2008-03-16,250/500,2000,1241.97,0,High School,other-service,75400,0,Parked Car,Minor Damage,,18,NO,1,0,NO,670,670,5360,N,2486
222,1999-05-23,250/500,500,1124.6,0,Associate,armed-forces,0,0,Multi-vehicle Collision,Minor Damage,Police,23,YES,0,0,NO,11940,7960,31840,N,5731
119,2012-11-22,250/500,2000,1079.92,0,High School,machine-op-inspct,88800,0,Single Vehicle Collision,Total Loss,Ambulance,1,NO,0,1,YES,6700,6700,40200,Y,826
73,1993-01-29,250/500,1000,1447.78,0,College,protective-serv,35100,-59900,Multi-vehicle Collision,Total Loss,Other,15,YES,1,0,NO,4990,4990,34930,N,8016
8,2003-02-11,250/500,500,1229.16,4000000,MD,transport-moving,0,-88300,Multi-vehicle Collision,Major Damage,Fire,2,NO,0,2,YES,11100,7400,29600,N,4395
294,1990-08-15,100/300,1000,1226.49,0,PhD,farming-fishing,53900,0,Vehicle Theft,Trivial Damage,,3,NO,0,1,NO,610,1220,4270,N,8940
324,2010-03-06,100/300,2000,897.89,6000000,MD,tech-support,0,-41300,Single Vehicle Collision,Minor Damage,Other,13,NO,1,0,YES,15920,15920,47760,N,1782
155,1990-09-27,100/300,500,1706.79,0,Masters,protective-serv,0,0,Single Vehicle Collision,Minor Damage,Ambulance,1,NO,1,1,YES,8560,8560,59920,N,8868
261,2005-06-17,250/500,1000,1254.18,0,PhD,prof-specialty,0,-45100,Single Vehicle Collision,Minor Damage,Fire,16,YES,0,1,NO,11380,11380,39830,N,3495
245,2001-09-14,500/1000,500,885.08,0,Masters,armed-forces,27000,-58900,Single Vehicle Collision,Total Loss,Other,0,YES,0,1,NO,13100,13100,58950,N,4893
235,2011-01-07,100/300,500,1046.58,4000000,MD,tech-support,0,-31700,Vehicle Theft,Trivial Damage,,1,NO,2,1,NO,450,900,3600,N,1478
53,2003-09-13,500/1000,2000,1712.68,0,Associate,handlers-cleaners,72200,0,Multi-vehicle Collision,Major Damage,Fire,17,NO,2,0,YES,10220,5110,35770,N,4176
426,1997-10-24,500/1000,2000,1097.71,0,Masters,adm-clerical,29600,-22300,Single Vehicle Collision,Minor Damage,Police,13,YES,2,3,NO,16800,16800,67200,N,6289
111,2009-01-04,250/500,500,1363.77,4000000,Masters,tech-support,51100,0,Single Vehicle Collision,Total Loss,Police,12,YES,2,3,NO,16540,16540,57890,N,2204
86,1998-10-12,100/300,500,1382.88,7000000,JD,tech-support,0,-30300,Single Vehicle Collision,Minor Damage,Police,11,NO,1,1,YES,14880,7440,59520,Y,5936
296,1993-02-23,100/300,1000,1141.35,7000000,Masters,craft-repair,0,0,Single Vehicle Collision,Major Damage,Ambulance,18,NO,0,2,NO,5490,5490,43920,N,7987
125,1996-07-07,500/1000,500,1054.83,7000000,JD,tech-support,0,-51300,Single Vehicle Collision,Total Loss,Fire,17,YES,2,3,NO,8060,16120,64480,Y,6807
177,2013-01-23,100/300,2000,1057.77,0,JD,tech-support,0,-57700,Multi-vehicle Collision,Total Loss,Ambulance,22,NO,1,1,NO,2250,2250,13500,N,754
238,2006-12-06,250/500,2000,1488.02,0,JD,protective-serv,0,-39200,Vehicle Theft,Minor Damage,Police,9,YES,1,3,YES,1100,550,3850,N,3003
81,2014-02-23,100/300,500,920.3,5000000,High School,tech-support,51000,-67900,Multi-vehicle Collision,Major Damage,Other,11,NO,1,0,NO,13440,6720,53760,Y,363
128,2007-11-16,500/1000,1000,986.53,0,High School,adm-clerical,62700,0,Single Vehicle Collision,Total Loss,Ambulance,11,NO,0,2,YES,18520,18520,64820,N,2649
449,1999-04-17,250/500,2000,1440.68,0,Associate,tech-support,25000,0,Parked Car,Minor Damage,,8,YES,0,1,YES,980,980,3430,N,5777
252,2006-02-06,250/500,1000,1086.21,0,JD,farming-fishing,68500,-57500,Single Vehicle Collision,Minor Damage,Police,18,NO,1,2,NO,5610,5610,39270,N,3294
359,1993-10-20,100/300,2000,1367.68,0,MD,handlers-cleaners,0,0,Single Vehicle Collision,Total Loss,Police,13,NO,0,3,NO,5550,11100,38850,N,7753
19,2006-01-01,500/1000,1000,1215.85,0,High School,other-service,42900,-90200,Vehicle Theft,Minor Damage,Police,8,YES,1,1,YES,1280,640,5120,N,3288
73,2003-04-04,250/500,2000,1191.19,4000000,MD,farming-fishing,29300,0,Multi-vehicle Collision,Total Loss,Other,9,NO,0,1,YES,5020,0,35140,N,4332
285,2014-07-05,500/1000,1000,1594.45,0,High School,handlers-cleaners,0,0,Multi-vehicle Collision,Total Loss,Fire,17,YES,2,3,NO,6960,6960,41760,N,215
196,1996-01-16,250/500,2000,1463.07,0,MD,armed-forces,0,0,Vehicle Theft,Trivial Damage,Police,3,NO,1,1,NO,530,530,4240,Y,6948
223,2002-04-19,250/500,500,1734.09,0,MD,adm-clerical,0,0,Parked Car,Trivial Damage,,6,YES,0,3,NO,650,650,3900,N,4651
328,2005-12-10,250/500,500,1411.43,0,Masters,armed-forces,45100,-32800,Single Vehicle Collision,Major Damage,Ambulance,17,YES,2,1,NO,5940,11880,41580,N,3324
285,1994-11-07,100/300,2000,1512.58,0,College,sales,47600,0,Vehicle Theft,Minor Damage,Police,7,NO,1,1,NO,280,280,1960,N,7372
30,2012-06-02,250/500,2000,1153.35,0,PhD,craft-repair,0,0,Vehicle Theft,Trivial Damage,Police,9,NO,2,1,YES,960,960,3840,N,975
342,1998-04-07,250/500,500,1722.95,0,PhD,transport-moving,63100,-13800,Single Vehicle Collision,Minor Damage,Fire,3,NO,2,0,YES,7670,7670,61360,N,6171
219,2007-04-25,250/500,2000,1281.07,7000000,High School,protective-serv,0,0,Parked Car,Trivial Damage,Police,6,NO,0,2,NO,740,740,4440,N,2825
468,2000-06-30,100/300,500,1011.92,0,PhD,machine-op-inspct,0,0,Multi-vehicle Collision,Major Damage,Fire,7,YES,0,3,NO,7150,7150,50050,N,5343
241,1996-06-04,250/500,2000,1042.26,0,JD,sales,0,0,Multi-vehicle Collision,Total Loss,Ambulance,21,NO,1,2,NO,4240,2120,12720,N,6815
223,2009-05-09,500/1000,500,1235.1,0,Masters,tech-support,66400,-34400,Single Vehicle Collision,Minor Damage,Police,14,NO,2,1,NO,5440,5440,43520,N,2103
128,2001-07-08,100/300,2000,768.91,0,College,sales,0,-39300,Single Vehicle Collision,Total Loss,Fire,0,NO,1,0,NO,5980,5980,47840,Y,4981
124,1993-09-20,500/1000,500,1301.72,0,Masters,handlers-cleaners,0,0,Multi-vehicle Collision,Major Damage,Police,14,NO,0,3,YES,7200,7200,57600,N,7828
343,2009-11-03,250/500,500,1451.54,3000000,JD,adm-clerical,0,0,Multi-vehicle Collision,Total Loss,Police,13,NO,2,3,NO,7230,14460,43380,N,1892
404,2014-12-10,250/500,500,767.14,0,Associate,sales,25500,-36700,Parked Car,Trivial Damage,Police,8,NO,0,1,NO,1760,880,6160,N,35
63,1994-01-08,250/500,2000,1620.89,0,High School,handlers-cleaners,0,0,Vehicle Theft,Minor Damage,Police,7,NO,2,0,NO,1020,1020,4080,N,7696
210,2006-08-05,500/1000,2000,1048.46,0,High School,priv-house-serv,59900,0,Vehicle Theft,Trivial Damage,,9,NO,1,2,NO,1180,590,5310,N,3075
335,2007-02-07,100/300,1000,1538.26,6000000,High School,sales,62200,-31400,Multi-vehicle Collision,Minor Damage,Ambulance,12,YES,2,3,YES,8580,4290,21450,N,2908
11,2001-04-09,500/1000,2000,1217.69,0,MD,prof-specialty,24000,0,Multi-vehicle Collision,Major Damage,Other,6,NO,1,0,NO,9720,9720,34020,Y,5040
142,1995-02-17,100/300,2000,1362.64,5000000,JD,exec-managerial,0,0,Single Vehicle Collision,Total Loss,Other,11,YES,1,3,NO,6780,13560,61020,Y,7278
272,1995-07-25,100/300,1000,1279.13,0,PhD,craft-repair,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,5,NO,1,2,YES,7370,14740,58960,Y,7136
69,2006-03-24,100/300,2000,924.72,0,High School,machine-op-inspct,0,0,Single Vehicle Collision,Minor Damage,Fire,14,NO,2,2,NO,5260,10520,47340,N,3211
38,1995-03-28,250/500,1000,1019.44,0,Masters,transport-moving,0,-39700,Vehicle Theft,Trivial Damage,,17,NO,2,1,NO,1440,720,5040,N,7259
328,1996-06-19,500/1000,500,1314.6,0,MD,prof-specialty,24800,0,Single Vehicle Collision,Total Loss,Other,0,NO,2,3,NO,12780,6390,51120,Y,6823
281,1993-06-16,100/300,1000,1515.18,6000000,College,priv-house-serv,0,0,Multi-vehicle Collision,Minor Damage,Fire,21,NO,1,0,NO,9260,9260,41670,N,7877
246,2001-07-11,250/500,2000,1649.18,0,College,farming-fishing,0,-58600,Single Vehicle Collision,Major Damage,Other,18,YES,1,2,YES,11160,5580,44640,Y,4974
298,2008-11-22,250/500,500,1451.01,0,College,other-service,47800,0,Single Vehicle Collision,Minor Damage,Ambulance,17,NO,2,2,NO,2810,5620,19670,N,2282
330,2002-12-28,500/1000,1000,978.46,0,High School,sales,0,0,Single Vehicle Collision,Total Loss,Fire,19,YES,0,0,NO,8920,8920,31220,N,4421
362,2006-01-01,250/500,500,1198.34,4000000,Associate,sales,53000,-72500,Multi-vehicle Collision,Total Loss,Fire,17,NO,1,1,NO,6340,6340,44380,N,3293
241,1990-05-19,100/300,2000,1003.23,0,Associate,tech-support,0,0,Multi-vehicle Collision,Major Damage,Fire,23,NO,0,3,YES,12980,12980,51920,N,9009
245,2013-08-26,500/1000,2000,1212.0,0,Masters,exec-managerial,24400,-60500,Single Vehicle Collision,Total Loss,Ambulance,4,YES,0,1,YES,7350,14700,51450,N,520
371,1997-10-12,250/500,1000,1242.96,7000000,High School,other-service,0,-37100,Multi-vehicle Collision,Minor Damage,Other,2,YES,2,0,NO,6840,13680,68400,N,6342
343,2002-01-21,500/1000,1000,1053.02,0,Associate,prof-specialty,0,0,Single Vehicle Collision,Major Damage,Other,2,NO,0,2,NO,12990,4330,30310,Y,4774
377,1996-09-02,100/300,500,1693.63,0,MD,craft-repair,0,-64000,Multi-vehicle Collision,Total Loss,Fire,10,YES,1,3,NO,6560,6560,45920,N,6742
154,2010-01-28,250/500,1000,2047.59,0,MD,farming-fishing,0,-67800,Single Vehicle Collision,Minor Damage,Other,2,NO,0,3,NO,14460,7230,57840,N,1807
166,2014-10-03,100/300,1000,1083.72,0,High School,machine-op-inspct,65600,-68200,Single Vehicle Collision,Total Loss,Other,18,NO,0,2,YES,4880,4880,43920,N,129
298,2007-05-02,500/1000,1000,1138.42,6000000,JD,prof-specialty,36900,-55000,Single Vehicle Collision,Minor Damage,Police,18,NO,2,3,YES,3050,6100,24400,N,2847
235,1990-09-22,250/500,500,1072.62,0,Masters,machine-op-inspct,39900,-60200,Multi-vehicle Collision,Total Loss,Other,7,NO,2,1,YES,6910,6910,55280,N,8915
172,2004-09-19,100/300,2000,1219.04,0,MD,handlers-cleaners,63600,-68700,Multi-vehicle Collision,Major Damage,Police,19,NO,2,0,NO,14500,14500,50750,N,3766
27,1995-08-28,100/300,2000,1371.78,0,JD,farming-fishing,0,-32500,Multi-vehicle Collision,Major Damage,Other,10,NO,0,2,YES,5360,10720,37520,Y,7100
428,2004-02-04,100/300,2000,1506.21,0,Masters,transport-moving,0,-24400,Multi-vehicle Collision,Minor Damage,Fire,16,NO,1,0,NO,12760,6380,57420,N,4005
99,2014-07-23,100/300,1000,1058.21,3000000,JD,craft-repair,0,0,Single Vehicle Collision,Total Loss,Fire,17,YES,1,1,NO,4570,4570,31990,N,171
107,1997-03-21,500/1000,2000,932.14,0,MD,sales,40600,0,Multi-vehicle Collision,Total Loss,Fire,2,NO,2,3,NO,14300,7150,57200,Y,6504
272,1991-05-06,500/1000,2000,1608.34,0,Associate,farming-fishing,33300,-10600,Single Vehicle Collision,Major Damage,Other,19,NO,1,1,NO,6460,12920,51680,N,8687
151,1992-08-07,500/1000,1000,1728.56,0,Masters,farming-fishing,54000,0,Single Vehicle Collision,Minor Damage,Fire,0,YES,1,1,NO,3530,3530,31770,N,8220
249,2013-09-03,250/500,1000,1518.46,0,MD,armed-forces,0,0,Single Vehicle Collision,Major Damage,Fire,16,NO,0,0,YES,5350,5350,42800,N,510
177,2012-01-05,100/300,2000,1540.19,0,College,adm-clerical,0,-74500,Single Vehicle Collision,Major Damage,Other,20,YES,2,0,NO,7370,7370,58960,Y,1123
190,2007-01-27,500/1000,2000,965.21,0,JD,exec-managerial,36900,-53700,Parked Car,Trivial Damage,,10,NO,2,1,YES,630,630,5040,N,2928
174,2005-10-14,100/300,2000,1278.75,0,College,tech-support,53200,-53800,Multi-vehicle Collision,Total Loss,Ambulance,21,NO,2,2,NO,10900,10900,43600,N,3402
95,1990-11-03,250/500,1000,773.99,0,Associate,armed-forces,0,-70300,Vehicle Theft,Trivial Damage,,3,YES,1,2,NO,640,320,2240,N,8825
371,2005-10-15,500/1000,1000,1532.47,0,Associate,tech-support,60300,-24700,Single Vehicle Collision,Major Damage,Fire,7,YES,0,3,YES,7540,15080,52780,Y,3383
2,1999-05-22,250/500,1000,1340.56,0,JD,machine-op-inspct,0,0,Single Vehicle Collision,Minor Damage,Fire,19,YES,0,2,YES,6460,6460,45220,N,5719
269,2002-12-21,100/300,500,1297.75,4000000,JD,other-service,0,-41400,Multi-vehicle Collision,Total Loss,Ambulance,15,NO,0,1,NO,15180,15180,68310,Y,4425
101,2007-02-10,250/500,1000,433.33,0,Masters,machine-op-inspct,25900,0,Parked Car,Minor Damage,,7,NO,0,3,NO,1180,590,4130,N,2883
94,2002-03-01,250/500,2000,1025.54,0,High School,armed-forces,0,-52600,Single Vehicle Collision,Major Damage,Fire,19,NO,1,3,YES,6410,6410,51280,N,4739
117,2003-04-21,250/500,500,1264.77,0,Associate,transport-moving,47500,-32500,Multi-vehicle Collision,Total Loss,Fire,13,YES,0,1,NO,5040,10080,40320,Y,4308
111,2002-09-22,250/500,500,1459.97,5000000,MD,sales,0,0,Multi-vehicle Collision,Major Damage,Police,2,NO,1,2,NO,7350,14700,58800,Y,4541
242,1998-02-10,100/300,500,1238.65,0,High School,transport-moving,0,-44600,Vehicle Theft,Trivial Damage,Police,5,YES,1,1,NO,680,680,6120,N,6195
440,1992-09-01,250/500,500,1050.76,0,PhD,transport-moving,41500,-70200,Single Vehicle Collision,Major Damage,Fire,21,NO,2,3,NO,5960,5960,41720,Y,8182
20,1999-05-01,500/1000,1000,1711.72,0,JD,tech-support,0,0,Multi-vehicle Collision,Major Damage,Fire,21,NO,2,2,NO,5750,11500,46000,Y,5736
461,1997-12-19,100/300,500,865.33,7000000,High School,farming-fishing,0,0,Multi-vehicle Collision,Major Damage,Ambulance,7,NO,0,1,NO,9840,9840,39360,N,6235
208,2000-06-18,250/500,500,1153.49,0,Associate,craft-repair,0,0,Multi-vehicle Collision,Total Loss,Other,16,YES,1,0,YES,10100,5050,35350,N,5362
279,1995-04-24,500/1000,2000,1281.25,0,Associate,machine-op-inspct,0,0,Single Vehicle Collision,Major Damage,Police,13,YES,0,1,NO,6410,12820,38460,Y,7208
244,2006-06-16,100/300,500,1342.8,0,MD,sales,0,0,Vehicle Theft,Trivial Damage,Police,2,YES,1,3,YES,660,660,4620,N,3153
134,2007-09-28,250/500,2000,1443.32,0,PhD,exec-managerial,0,0,Multi-vehicle Collision,Major Damage,Fire,19,NO,0,2,YES,5310,5310,37170,Y,2658
122,1991-11-21,250/500,1000,1629.94,0,Masters,priv-house-serv,0,-47100,Parked Car,Trivial Damage,,17,NO,0,1,NO,350,350,3150,N,8474
156,1996-09-21,100/300,2000,1134.08,0,PhD,other-service,0,0,Single Vehicle Collision,Major Damage,Police,3,NO,2,0,NO,5900,5900,47200,Y,6713
232,2001-05-16,250/500,500,1483.91,8000000,College,machine-op-inspct,0,-33600,Multi-vehicle Collision,Major Damage,Ambulance,17,NO,0,1,NO,7060,14120,49420,Y,4995
244,1999-08-11,500/1000,2000,1304.67,7000000,Masters,armed-forces,0,-45000,Multi-vehicle Collision,Minor Damage,Police,5,NO,1,1,NO,5590,11180,44720,N,5631
84,2003-06-16,500/1000,2000,1035.79,0,MD,protective-serv,44400,-51500,Single Vehicle Collision,Minor Damage,Police,9,NO,1,0,YES,5240,10480,41920,N,4246
394,1999-03-30,250/500,500,1401.2,0,High School,craft-repair,51500,0,Vehicle Theft,Trivial Damage,Police,9,NO,1,0,NO,1060,1060,4770,N,5780
246,1999-02-03,250/500,1000,1665.45,0,JD,machine-op-inspct,34400,-33100,Multi-vehicle Collision,Major Damage,Fire,9,NO,2,2,NO,11840,5920,35520,Y,5839
35,2011-08-25,500/1000,2000,653.66,0,JD,handlers-cleaners,52100,-46900,Multi-vehicle Collision,Minor Damage,Fire,22,NO,0,0,NO,15660,7830,54810,N,1279
156,2010-06-28,100/300,500,1080.13,0,Associate,protective-serv,0,-61000,Multi-vehicle Collision,Major Damage,Ambulance,15,YES,0,3,NO,4610,4610,32270,N,1651
195,2001-11-06,100/300,2000,1346.18,0,Associate,machine-op-inspct,57800,-53300,Multi-vehicle Collision,Total Loss,Fire,14,YES,2,3,YES,12540,6270,50160,N,4859
369,2013-04-15,250/500,2000,1589.54,0,College,handlers-cleaners,55400,0,Multi-vehicle Collision,Minor Damage,Police,6,NO,2,0,YES,17060,8530,59710,N,652
271,1995-12-07,100/300,1000,1251.65,0,Associate,other-service,71200,0,Parked Car,Minor Damage,,6,NO,0,0,NO,560,280,2240,N,7014
332,1991-11-01,100/300,2000,1083.01,0,MD,craft-repair,91900,0,Multi-vehicle Collision,Major Damage,Police,22,YES,2,0,NO,11040,11040,49680,Y,8492
107,2014-05-19,100/300,500,974.59,0,JD,armed-forces,62800,0,Multi-vehicle Collision,Minor Damage,Ambulance,14,NO,1,0,NO,11940,11940,35820,N,244
217,1992-03-15,500/1000,2000,1399.85,0,Masters,other-service,49900,-19800,Multi-vehicle Collision,Minor Damage,Fire,16,NO,0,2,NO,10820,10820,43280,N,8336
243,2006-02-03,500/1000,500,1307.74,0,Associate,machine-op-inspct,0,-75700,Multi-vehicle Collision,Major Damage,Ambulance,10,NO,0,1,NO,4170,4170,29190,N,3281
296,2003-03-16,250/500,2000,1219.27,0,Associate,tech-support,53100,-63400,Multi-vehicle Collision,Total Loss,Ambulance,9,YES,1,2,NO,7120,7120,49840,N,4355
264,2002-10-16,100/300,500,1411.3,0,PhD,prof-specialty,55600,0,Single Vehicle Collision,Minor Damage,Other,4,NO,1,0,NO,10980,5490,43920,Y,4498
108,1990-01-27,100/300,2000,694.45,0,JD,armed-forces,0,0,Multi-vehicle Collision,Major Damage,Police,6,NO,0,1,YES,5850,11700,46800,Y,9124
32,2010-03-11,100/300,500,1006.77,6000000,College,other-service,0,0,Multi-vehicle Collision,Minor Damage,Police,15,YES,2,1,YES,14180,7090,49630,N,1793
259,1995-09-19,250/500,1000,1422.36,0,JD,craft-repair,0,-83900,Multi-vehicle Collision,Minor Damage,Fire,12,NO,1,3,NO,7760,7760,31040,N,7067
186,2010-02-27,100/300,1000,1348.32,0,Associate,craft-repair,37600,-37600,Vehicle Theft,Trivial Damage,Police,3,NO,2,1,NO,860,860,3010,Y,1782
201,1991-12-28,250/500,2000,1315.56,0,PhD,transport-moving,0,0,Vehicle Theft,Minor Damage,Police,14,YES,0,0,YES,1240,1240,4340,N,8453
436,2002-04-30,250/500,2000,1407.01,5000000,PhD,tech-support,47400,-27600,Single Vehicle Collision,Major Damage,Police,10,NO,0,2,NO,11980,5990,41930,Y,4638
189,2007-04-28,250/500,2000,1388.58,0,MD,priv-house-serv,0,-49400,Multi-vehicle Collision,Major Damage,Police,17,NO,1,3,YES,13260,13260,53040,N,2848
105,1996-07-08,500/1000,500,1310.76,0,High School,adm-clerical,0,-40900,Single Vehicle Collision,Total Loss,Other,8,YES,0,1,NO,12780,6390,51120,N,6798
163,2002-04-01,100/300,1000,1004.63,6000000,JD,priv-house-serv,26900,0,Multi-vehicle Collision,Total Loss,Ambulance,14,YES,2,0,NO,5810,11620,46480,N,4664
219,2006-10-29,100/300,500,1134.91,0,Associate,transport-moving,68700,0,Vehicle Theft,Trivial Damage,,6,NO,1,0,NO,640,640,5120,N,3014
88,2007-10-25,250/500,1000,1194.0,0,JD,handlers-cleaners,0,0,Single Vehicle Collision,Major Damage,Ambulance,6,YES,1,2,YES,7420,7420,51940,Y,2668
40,2001-03-28,500/1000,1000,1248.25,4000000,College,sales,0,-33300,Parked Car,Minor Damage,Police,8,NO,0,2,NO,1460,1460,5840,N,5058
284,1995-05-04,100/300,500,1338.54,-1000000,Associate,machine-op-inspct,0,0,Single Vehicle Collision,Major Damage,Ambulance,13,YES,0,1,NO,8560,17120,68480,N,7210
59,2011-09-28,250/500,2000,782.23,0,College,protective-serv,64200,-32300,Multi-vehicle Collision,Total Loss,Ambulance,0,NO,0,2,NO,5730,11460,34380,N,1227
39,2003-01-28,250/500,2000,1366.9,0,High School,handlers-cleaners,0,-15700,Multi-vehicle Collision,Major Damage,Fire,14,NO,1,0,NO,10540,10540,31620,Y,4383
147,2011-02-01,500/1000,1000,1275.81,0,High School,sales,0,-48300,Single Vehicle Collision,Minor Damage,Fire,13,YES,2,2,NO,15540,15540,69930,N,1450
156,1993-02-09,250/500,500,1090.65,0,High School,exec-managerial,0,-51800,Multi-vehicle Collision,Minor Damage,Police,16,NO,1,2,YES,5340,5340,42720,Y,8011
123,2005-08-05,250/500,500,1326.0,0,Associate,prof-specialty,0,-54600,Single Vehicle Collision,Total Loss,Fire,13,NO,1,2,NO,12020,12020,48080,N,3483
231,2006-06-17,250/500,2000,972.47,0,College,protective-serv,0,-58100,Multi-vehicle Collision,Minor Damage,Police,15,YES,2,2,YES,7710,15420,53970,N,3151
247,1993-12-07,100/300,500,806.31,0,College,handlers-cleaners,0,0,Parked Car,Trivial Damage,Police,3,NO,2,3,NO,600,0,2700,N,7750
194,2012-03-14,500/1000,500,1416.24,0,MD,adm-clerical,0,0,Parked Car,Minor Damage,,7,YES,1,0,NO,1080,540,4320,N,1079
119,1997-08-05,250/500,2000,1097.64,0,High School,transport-moving,27100,0,Multi-vehicle Collision,Major Damage,Other,16,NO,1,0,NO,7080,21240,35400,N,6394
259,2009-07-05,100/300,500,947.75,0,Masters,farming-fishing,0,-39300,Vehicle Theft,Trivial Damage,Police,15,NO,1,3,NO,1280,640,5760,N,2039
107,1994-11-25,100/300,2000,1018.73,5000000,Associate,handlers-cleaners,20000,-82700,Multi-vehicle Collision,Total Loss,Police,21,YES,1,2,NO,14420,21630,57680,N,7368
48,1997-02-03,100/300,2000,1400.74,0,College,sales,34000,-55600,Multi-vehicle Collision,Major Damage,Police,23,YES,0,2,NO,17460,17460,52380,N,6561
267,2009-10-09,250/500,500,1155.53,5000000,JD,transport-moving,0,-35200,Parked Car,Trivial Damage,Police,5,NO,0,2,NO,1260,630,3780,N,1933
286,2002-11-20,250/500,500,1386.93,0,High School,priv-house-serv,54100,-77600,Multi-vehicle Collision,Minor Damage,Other,15,YES,0,0,NO,13160,6580,46060,N,4441
175,1995-05-29,100/300,500,915.29,0,JD,handlers-cleaners,82400,-57100,Single Vehicle Collision,Major Damage,Other,14,NO,2,1,YES,4080,4080,28560,Y,7210
111,2011-01-22,250/500,500,1239.55,2000000,PhD,farming-fishing,0,0,Single Vehicle Collision,Major Damage,Fire,1,NO,1,1,YES,4800,9600,38400,Y,1448
151,2012-10-18,250/500,500,1366.42,0,Associate,protective-serv,44000,0,Multi-vehicle Collision,Total Loss,Fire,14,NO,1,2,YES,5910,5910,47280,Y,850
156,1991-10-13,500/1000,1000,1086.48,6000000,Associate,machine-op-inspct,0,-53800,Multi-vehicle Collision,Total Loss,Other,17,NO,1,1,YES,14080,7040,56320,N,8496
165,2010-10-01,250/500,2000,1247.87,0,Masters,armed-forces,0,-39700,Multi-vehicle Collision,Total Loss,Fire,20,NO,2,2,NO,4570,4570,36560,N,1566
253,2013-04-10,100/300,2000,1312.75,0,PhD,sales,81300,0,Multi-vehicle Collision,Major Damage,Other,10,NO,2,2,YES,7340,14680,58720,Y,631
10,2008-06-11,100/300,2000,765.64,0,MD,sales,0,-22200,Multi-vehicle Collision,Major Damage,Ambulance,3,NO,0,3,NO,2850,5700,22800,Y,2441
158,2013-12-04,100/300,2000,1327.41,0,Associate,handlers-cleaners,0,-38600,Single Vehicle Collision,Total Loss,Other,0,NO,0,0,NO,3500,7000,24500,N,396
436,2010-08-21,500/1000,1000,1338.55,0,PhD,protective-serv,39000,0,Multi-vehicle Collision,Total Loss,Police,10,NO,2,2,NO,13600,6800,47600,N,1605
91,2010-06-18,250/500,2000,1316.63,8000000,Masters,machine-op-inspct,43900,0,Multi-vehicle Collision,Minor Damage,Other,13,YES,2,0,NO,13000,13000,58500,N,1665
256,1992-04-10,500/1000,1000,1286.44,0,MD,transport-moving,0,-39500,Single Vehicle Collision,Minor Damage,Police,14,NO,2,1,NO,7550,15100,52850,N,8322
274,1997-02-03,500/1000,1000,1372.18,0,High School,exec-managerial,0,0,Multi-vehicle Collision,Total Loss,Other,22,NO,1,3,NO,15100,15100,60400,N,6553
275,1991-12-06,500/1000,2000,1447.77,0,Associate,adm-clerical,39400,-63900,Multi-vehicle Collision,Total Loss,Ambulance,8,YES,1,1,NO,5360,10720,48240,N,8444
1,1995-09-19,250/500,500,903.32,0,High School,transport-moving,0,0,Multi-vehicle Collision,Minor Damage,Police,1,NO,1,0,NO,6340,3170,22190,N,7062
85,1993-10-29,500/1000,1000,1454.42,0,Associate,protective-serv,51600,-73900,Single Vehicle Collision,Major Damage,Other,19,YES,0,1,YES,12380,12380,49520,Y,7764
233,1991-11-03,100/300,2000,1603.42,0,High School,sales,61600,-30200,Single Vehicle Collision,Total Loss,Fire,17,YES,0,2,YES,13420,6710,60390,N,8496
142,2002-07-09,250/500,2000,1616.58,0,JD,adm-clerical,58500,-46800,Multi-vehicle Collision,Major Damage,Other,13,YES,0,3,YES,6360,12720,44520,N,4593
